#Lat	 Lon	Time	Back Az	F-stat	Array Dim
39.719600677490234	-113.38999938964844	2012-07-24T03:29:30.008300Z	81.6	1.753	4.000
39.719600677490234	-113.38999938964844	2012-07-24T04:12:30.008300Z	175.8	2.049	4.000
39.719600677490234	-113.38999938964844	2012-07-24T04:14:00.008300Z	173.7	2.654	4.000
39.719600677490234	-113.38999938964844	2012-07-24T04:16:00.008300Z	171.6	3.786	4.000
39.719600677490234	-113.38999938964844	2012-07-24T07:57:00.008300Z	324.5	1.631	4.000
39.719600677490234	-113.38999938964844	2012-07-24T08:45:30.008300Z	113.5	1.710	4.000
39.719600677490234	-113.38999938964844	2012-07-24T08:50:30.008300Z	110.6	1.548	4.000
39.719600677490234	-113.38999938964844	2012-07-24T08:53:00.008300Z	111.4	2.027	4.000
39.719600677490234	-113.38999938964844	2012-07-24T08:55:30.008300Z	113.5	1.697	4.000
39.719600677490234	-113.38999938964844	2012-07-24T08:58:30.008300Z	101.3	1.948	4.000
39.719600677490234	-113.38999938964844	2012-07-24T09:03:00.008300Z	101.3	1.885	4.000
39.719600677490234	-113.38999938964844	2012-07-24T09:07:30.008300Z	105.6	1.913	4.000
39.719600677490234	-113.38999938964844	2012-07-24T09:10:30.008300Z	109.8	1.738	4.000
39.719600677490234	-113.38999938964844	2012-07-24T09:16:00.008300Z	103.5	1.564	4.000
39.719600677490234	-113.38999938964844	2012-07-24T09:26:00.008300Z	104.0	1.845	4.000
39.719600677490234	-113.38999938964844	2012-07-24T10:46:00.008300Z	70.9	1.698	4.000
39.719600677490234	-113.38999938964844	2012-07-24T13:42:00.008300Z	114.6	2.092	4.000
39.719600677490234	-113.38999938964844	2012-07-24T15:26:30.008300Z	358.0	1.639	4.000
39.719600677490234	-113.38999938964844	2012-07-24T15:38:30.008300Z	51.3	1.638	4.000
39.719600677490234	-113.38999938964844	2012-07-24T15:58:00.008300Z	57.5	1.367	4.000
39.719600677490234	-113.38999938964844	2012-07-24T16:07:30.008300Z	43.6	1.568	4.000
39.719600677490234	-113.38999938964844	2012-07-24T16:23:00.008300Z	103.0	2.987	4.000
39.719600677490234	-113.38999938964844	2012-07-24T16:43:00.008300Z	103.5	1.475	4.000
39.719600677490234	-113.38999938964844	2012-07-24T17:03:30.008300Z	43.6	1.493	4.000
39.719600677490234	-113.38999938964844	2012-07-24T17:19:00.008300Z	45.0	1.449	4.000
39.719600677490234	-113.38999938964844	2012-07-24T17:26:00.008300Z	46.5	1.906	4.000
39.719600677490234	-113.38999938964844	2012-07-24T17:58:00.008300Z	139.6	1.809	4.000
39.719600677490234	-113.38999938964844	2012-07-24T18:21:30.008300Z	55.7	1.645	4.000
39.719600677490234	-113.38999938964844	2012-07-24T18:31:00.008300Z	15.9	2.458	4.000
39.719600677490234	-113.38999938964844	2012-07-24T18:35:30.008300Z	54.5	1.776	4.000
39.719600677490234	-113.38999938964844	2012-07-24T18:37:00.008300Z	52.3	2.446	4.000
39.719600677490234	-113.38999938964844	2012-07-24T18:41:30.008300Z	16.5	5.549	4.000
39.719600677490234	-113.38999938964844	2012-07-24T18:44:30.008300Z	13.6	16.949	4.000
39.719600677490234	-113.38999938964844	2012-07-24T18:49:00.008300Z	72.9	2.055	4.000
39.719600677490234	-113.38999938964844	2012-07-24T19:03:30.008300Z	73.5	1.625	4.000
39.719600677490234	-113.38999938964844	2012-07-24T19:05:30.008300Z	79.5	1.630	4.000
39.719600677490234	-113.38999938964844	2012-07-24T19:09:00.008300Z	141.3	1.675	4.000
39.719600677490234	-113.38999938964844	2012-07-24T19:10:30.008300Z	142.7	1.834	4.000
39.719600677490234	-113.38999938964844	2012-07-24T19:30:00.008300Z	133.2	1.499	4.000
39.719600677490234	-113.38999938964844	2012-07-24T19:54:00.008300Z	124.4	1.574	4.000
39.719600677490234	-113.38999938964844	2012-07-24T20:02:00.008300Z	130.1	1.868	4.000
39.719600677490234	-113.38999938964844	2012-07-24T20:06:00.008300Z	133.3	1.556	4.000
39.719600677490234	-113.38999938964844	2012-07-24T20:08:30.008300Z	138.2	2.907	4.000
39.719600677490234	-113.38999938964844	2012-07-24T20:11:00.008300Z	139.9	1.781	4.000
39.719600677490234	-113.38999938964844	2012-07-24T20:25:30.008300Z	141.3	2.598	4.000
39.719600677490234	-113.38999938964844	2012-07-24T20:53:30.008300Z	121.8	2.545	4.000
